no,단어,뜻
1,true,진실
2,trunk,줄기
3,trust,신용
4,truth,진리
5,try,시험해보다
6,tube,관
7,tune,곡
8,tunnel,터널
9,turn,돌리다
10,turnover,전복
11,tutor,가정교사
12,twice,두 번
13,twin,쌍동이
14,twist,꼬이다
15,type,형
16,typical,전형적인
17,ugly,추한
18,ultimate,최후의
19,umbrella,우산
20,uncle,아저씨
21,under,-아래에
22,undergo,(영향 등을)받다
23,underlie,-의 밑에 있다
24,undermine,-밑을 파다
25,understand,이해하다
26,undertake,떠맡다
27,uniform,한결같은
28,unify,하나로 하다
29,union,결합
30,unique,유일무이한
31,unit,단위
32,unite,결합하다
33,universe,우주
34,university,종합대학(교) 대학의(에 관계 있는)
35,unless,-하지 않으면
36,until,-까지
37,up,위로
38,update,새롭게 하다 최신정보
39,upon,-의 위에
40,upper,위쪽의
41,upset,뒤집어 엎다
42,upward,위로 향한
43,urban,도시의
44,urge,몰아대다
45,urgent,긴급한
46,use,쓰다
47,usual,평소의
48,utilize,-을 이용하다
49,utter,전적인
50,vacation,휴가
51,vacuum,진공
52,vague,막연한
53,valid,유효한
54,valley,골짜기
55,value,가치
56,van,유개트럭
57,vanish,자취를 감추다
58,various,가지가지의
59,vary,바꾸다
60,vast,"광대한, 광막한 막대한"
61,vegetable,"식물  야채, 푸성귀, 남새, 채소"
62,vehicle,"운반 기구, 운송 수단,  수레, 차량, 탈것"
63,venture,모험
64,verbal,"말의, 말에 관한, 언어상의, 말로 나타낸, 말로 된"
65,verse,"시의 한 줄, 시구  일련의 시구"
66,version,"번역, 번역문 개작, 각색, 번안"
67,versus,"…대, …에 대한"
68,vertical,"수평면에 직각인, 수직의"
69,very,매우
70,vessel,그릇
71,veteran,"노련가, 경험 많은 대가, 베테랑"
72,veterinarian,수의사
73,via,"…을 거쳐, …을 경유하여"
74,vice,"악덕,  비행, 타락 행위"
75,victim,"희생, 산 제물, 인신 제물"
76,victory,"승리, 전승"
77,view,"봄, 관찰, 개관, 실지 검증  보는 힘, 시계, 시야"
78,vigorous,"정력적인, 강건한, 활기 있는, 격렬한"
79,village,"마을, 촌락"
80,violent,"격렬한, 맹렬한"
81,virgin,"처녀, 동정녀, 미혼 여성, 동정녀 마리아"
82,virtual,"사실상의, 실질상의, 실제의  허상의"
83,virtue,"덕, 덕행, 선, 선행"
84,visible,"눈에 보이는,  볼 수 있는"
85,visit,"방문하다, …의 손님으로 묵다"
86,visual,"시각의, 물건을 보기 위한"
87,vital,"생명의, 생명에 관한, 생명유지에 필요한, 살아 있는"
88,vivid,"발랄한, 약동적인, 힘찬, 생기있는"
89,vocabulary,"어휘, 용어수, 용어 범위"
90,vocation,"천직, 사명 직업, 생업, 장사  적성, 소질, 재능"
91,voice,"목소리, 음성, 음성"
92,volume,책  권
93,voluntary,"자발적인, 수의의"
94,vote,"찬부 표시, 투표, 표결"
95,voyage,여행
96,wage,임금
97,wagon,짐마차
98,wait,기다리다
99,wake,잠깨다
100,walk,걷다
